order_id	quantity	item_name	choice_description	item_price
19	1	Barbacoa Bowl	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.75 
19	1	Chips	NULL	$2.15 
20	1	Chips and Guacamole	NULL	$4.45 
20	1	Chicken Bowl	[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25 
20	1	Steak Burrito	[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.75 
20	1	Chicken Salad Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Pinto Beans, Lettuce]]	$8.75 
21	1	Chicken Burrito	[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]	$10.98 
21	1	Steak Burrito	[Tomatillo-Red Chili Salsa (Hot), [Rice, Fajita Veggies, Cheese]]	$8.99 
21	1	Izze	[Blackberry]	$3.39 
22	1	Steak Burrito	[[Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Sour Cream]]	$8.99 
22	1	Chips and Guacamole	NULL	$3.99 
23	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]	$8.99 
23	2	Canned Soda	[Mountain Dew]	$2.18 
24	1	Chicken Burrito	[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]	$10.98 
24	1	Canned Soda	[Sprite]	$1.09 
25	1	Steak Bowl	[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream]]	$8.99 
25	1	Chips and Fresh Tomato Salsa	NULL	$2.39 
26	1	Barbacoa Soft Tacos	[Fresh Tomato Salsa, [Fajita Vegetables, Black Beans, Lettuce]]	$9.25 
26	1	Veggie Burrito	[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25 
27	1	Barbacoa Bowl	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.75 
27	1	Chips	NULL	$2.15 
28	1	Chips and Guacamole	NULL	$4.45 
28	1	Steak Soft Tacos	[Fresh Tomato Salsa, Cheese]	$9.25 
28	1	Veggie Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25 
28	1	Chicken Burrito	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese]]	$8.75 
29	1	Steak Burrito	[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]	$8.99 
29	1	Steak Soft Tacos	[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese, Sour Cream, Lettuce]]	$8.99 
30	1	Izze	[Blackberry]	$3.39 
30	1	Steak Burrito	[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese]]	$8.99 
30	1	Chicken Burrito	[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]	$10.98 
31	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream]]	$8.99 
31	1	Side of Chips	NULL	$1.69 
32	1	Steak Burrito	[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]	$8.99 
32	1	Chips and Guacamole	NULL	$3.99 
33	1	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream]]	$8.75 
33	1	Chips and Guacamole	NULL	$4.45 
34	1	Chicken Soft Tacos	[Tomatillo Red Chili Salsa, [Rice, Cheese, Sour Cream, Lettuce]]	$8.75 
34	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Pinto Beans, Cheese, Lettuce]]	$8.75 
34	1	Chips	NULL	$2.15 
34	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]	$8.75 
35	1	Chicken Soft Tacos	[Roasted Chili Corn Salsa, [Rice, Cheese, Lettuce, Guacamole]]	$11.25 
35	1	Chips	NULL	$2.15 
36	1	Barbacoa Burrito	[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Lettuce]]	$9.25 
36	1	Chicken Burrito	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]	$8.75 
37	1	Chicken Burrito	[Tomatillo Green Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese]]	$8.75 
37	1	Steak Soft Tacos	[Tomatillo Red Chili Salsa]	$9.25 
38	1	Veggie Bowl	[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Black Beans, Rice, Fajita Veggies, Lettuce]]	$8.49 
38	1	Steak Bowl	[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Rice, Fajita Veggies, Cheese, Lettuce]]	$8.99 
38	1	Bottled Water	NULL	$1.09 
39	1	Carnitas Burrito	[Fresh Tomato Salsa, [Rice, Pinto Beans, Sour Cream, Cheese]]	$9.25 
39	1	Chips and Fresh Tomato Salsa	NULL	$2.95 
40	1	Steak Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]	$11.75 
40	1	Steak Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Cheese, Sour Cream, Guacamole]]	$11.75 
40	1	Steak Crispy Tacos	[Fresh Tomato Salsa, Sour Cream]	$9.25 
41	1	Carnitas Burrito	[Roasted Chili Corn Salsa, [Sour Cream, Guacamole]]	$11.75 
41	1	Chips and Guacamole	NULL	$4.45 
42	1	Barbacoa Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream]]	$9.25 
42	1	Chips and Guacamole	NULL	$4.45 
43	1	Carnitas Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]	$11.75 
43	1	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese]]	$8.75 
44	1	Chicken Bowl	[Tomatillo Red Chili Salsa, [Rice, Fajita Vegetables, Sour Cream, Lettuce]]	$8.75 
44	1	Chips and Guacamole	NULL	$4.45 
45	1	Steak Burrito	[Tomatillo-Green Chili Salsa (Medium), [Rice, Cheese, Sour Cream, Lettuce]]	$8.99 
45	1	Steak Bowl	[Tomatillo-Green Chili Salsa (Medium), [Rice, Cheese, Sour Cream, Lettuce]]	$8.99 
45	1	Chips and Guacamole	NULL	$3.99 
46	1	Veggie Burrito	[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Fajita Veggies, Sour Cream, Lettuce]]	$8.49 
46	1	Nantucket Nectar	[Pineapple Orange Banana]	$3.39 
47	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Fajita Veggies, Sour Cream]]	$8.99 
47	1	Canned Soda	[Dr. Pepper]	$1.09 
48	1	Steak Burrito	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce]]	$9.25 
48	1	Chips and Guacamole	NULL	$4.45 
49	1	Chicken Bowl	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]	$8.75 
49	1	Chips and Tomatillo Red Chili Salsa	NULL	$2.95 
49	1	Chips and Guacamole	NULL	$4.45 
50	1	Chips and Tomatillo-Green Chili Salsa	NULL	$2.39 
50	1	Chicken Burrito	[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]	$8.49 
51	1	Barbacoa Bowl	[[Tomatillo-Red Chili Salsa (Hot), Tomatillo-Green Chili Salsa (Medium)], [Rice, Pinto Beans, Fajita Veggies, Cheese, Sour Cream, Lettuce]]	$8.99 
51	1	Chicken Burrito	[[Tomatillo-Red Chili Salsa (Hot), Tomatillo-Green Chili Salsa (Medium)], [Rice, Pinto Beans, Cheese, Lettuce]]	$8.49 
51	1	Canned Soda	[Diet Dr. Pepper]	$1.09 
52	1	Steak Soft Tacos	[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Cheese, Sour Cream, Lettuce]]	$8.99 
52	1	Chips and Guacamole	NULL	$3.99 
53	1	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce]]	$8.75 
53	1	Barbacoa Burrito	[Tomatillo Green Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce]]	$9.25 
53	1	Chips and Guacamole	NULL	$4.45 
54	1	Chicken Bowl	[Fresh Tomato Salsa, [Guacamole, Cheese, Sour Cream, Fajita Vegetables, Rice]]	$11.25 
54	1	Chips and Guacamole	NULL	$4.45 
55	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Fajita Veggies, Sour Cream]]	$8.99 
55	1	Canned Soda	[Coca Cola]	$1.09 
56	1	Barbacoa Bowl	[Tomatillo Red Chili Salsa, [Rice, Pinto Beans, Cheese, Lettuce]]	$9.25 
56	1	Chips and Tomatillo Red Chili Salsa	NULL	$2.95 
56	1	Chips and Guacamole	NULL	$4.45 
57	1	Barbacoa Burrito	[Roasted Chili Corn Salsa, [Rice, Pinto Beans, Cheese, Guacamole, Lettuce]]	$11.75 
57	1	Chips and Guacamole	NULL	$4.45 
58	1	Chicken Burrito	[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]	$8.49 
58	1	Chips and Tomatillo-Green Chili Salsa	NULL	$2.39 
59	1	Chicken Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream, Guacamole]]	$10.98 
60	2	Chicken Salad Bowl	[Tomatillo Green Chili Salsa, [Sour Cream, Cheese, Guacamole]]	$22.50 
61	1	Barbacoa Bowl	[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.75 
61	1	Chips and Guacamole	NULL	$4.45 
62	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Fajita Vegetables, Sour Cream, Cheese, Guacamole]]	$11.25 
62	1	Chips and Guacamole	NULL	$4.45 
63	1	Chicken Bowl	[Tomatillo Green Chili Salsa, [Rice, Sour Cream, Cheese, Guacamole]]	$11.25 
63	1	Chips and Guacamole	NULL	$4.45 
64	1	Chicken Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]	$11.25 
64	1	Veggie Bowl	[Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Cheese, Guacamole, Lettuce]]	$11.25 
65	1	Barbacoa Burrito	[Tomatillo Red Chili Salsa, [Rice, Sour Cream, Cheese, Guacamole]]	$11.75 
65	1	Carnitas Bowl	[Roasted Chili Corn Salsa, [Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese]]	$9.25 
65	1	Chips and Guacamole	NULL	$4.45 
66	1	Steak Burrito	[Tomatillo-Green Chili Salsa (Medium), [Rice, Black Beans, Sour Cream, Guacamole]]	$11.48 
67	2	Steak Burrito	[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese, Sour Cream, Lettuce]]	$17.98 
67	1	Side of Chips	NULL	$1.69 
68	2	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce]]	$17.50 
68	1	Chips and Guacamole	NULL	$4.45 
69	1	Chicken Burrito	[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]	$8.49 
69	1	Chips and Tomatillo-Green Chili Salsa	NULL	$2.39 
70	2	Chicken Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Lettuce]]	$17.50 
70	1	Chips and Guacamole	NULL	$4.45 
71	1	Chips and Guacamole	NULL	$4.45 
71	1	Veggie Bowl	[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]	$11.25 
71	1	Steak Burrito	[Tomatillo Green Chili Salsa, [Rice, Cheese, Guacamole, Lettuce]]	$11.75 
72	1	Chicken Burrito	[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]	$10.98 
73	1	Chicken Bowl	[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]	$8.49 
73	1	Chicken Burrito	[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Fajita Veggies, Cheese, Guacamole, Lettuce]]	$10.98 
73	2	Canned Soda	[Diet Coke]	$2.18 
74	1	Carnitas Bowl	[Roasted Chili Corn Salsa (Medium), [Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.48 
74	1	Veggie Bowl	[[Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium)], [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]	$8.49 
74	1	Chips and Tomatillo-Green Chili Salsa	NULL	$2.39 
75	1	Chips and Guacamole	NULL	$4.45 
75	1	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Guacamole, Lettuce]]	$11.25 
75	1	Barbacoa Crispy Tacos	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]	$11.75 
75	1	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Cheese, Sour Cream]]	$8.75 
76	1	Chicken Burrito	[[Tomatillo-Red Chili Salsa (Hot), Fresh Tomato Salsa (Mild)], [Rice, Black Beans, Cheese, Lettuce]]	$8.49 
76	2	Canned Soda	[Diet Dr. Pepper]	$2.18 
77	1	Chicken Burrito	[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]	$8.49 
77	1	Nantucket Nectar	[Apple]	$3.39 
78	1	Chicken Burrito	[Tomatillo-Green Chili Salsa (Medium), Lettuce]	$8.49 
78	1	Steak Soft Tacos	[Roasted Chili Corn Salsa (Medium), Lettuce]	$8.99 
79	1	Chicken Bowl	[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]	$10.98 
80	1	Steak Burrito	[Fresh Tomato Salsa (Mild), [Rice, Black Beans, Sour Cream, Guacamole]]	$11.48 
81	1	Chicken Burrito	[Tomatillo-Green Chili Salsa (Medium), [Rice, Fajita Veggies, Cheese, Sour Cream]]	$8.49 
81	1	Canned Soda	[Coca Cola]	$1.09 
81	1	Canned Soda	[Dr. Pepper]	$1.09 
82	1	Barbacoa Soft Tacos	[Tomatillo Red Chili Salsa, [Rice, Pinto Beans, Cheese, Sour Cream]]	$9.25 
82	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Sour Cream]]	$8.75 
82	1	Chips and Fresh Tomato Salsa	NULL	$2.95 
83	1	Steak Soft Tacos	[Fresh Tomato Salsa, [Cheese, Sour Cream]]	$9.25 
83	1	Chips and Guacamole	NULL	$4.45 
83	1	Veggie Salad Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25 
84	1	Steak Bowl	[Fresh Tomato Salsa (Mild), [Rice, Fajita Veggies, Guacamole, Lettuce]]	$11.48 
84	1	Chicken Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Cheese, Sour Cream, Lettuce]]	$8.49 
84	1	Chicken Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Cheese, Lettuce]]	$8.49 
85	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Fajita Veggies, Cheese, Lettuce, Sour Cream, Rice]]	$8.99 
85	1	Chips and Roasted Chili-Corn Salsa	NULL	$2.39 
86	1	Veggie Bowl	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25 
86	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Cheese, Sour Cream]]	$8.75 
86	1	Chips and Fresh Tomato Salsa	NULL	$2.95 
87	1	Canned Soda	[Coca Cola]	$1.09 
87	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream]]	$8.99 
88	1	Chicken Burrito	[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]	$8.49 
88	1	Chips and Tomatillo-Green Chili Salsa	NULL	$2.39 
89	1	Chicken Bowl	[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Fajita Veggies, Guacamole, Lettuce]]	$10.98 
89	1	Canned Soda	[Diet Coke]	$1.09 
89	1	Chips and Guacamole	NULL	$3.99 
90	1	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce, Guacamole]]	$11.25 
90	1	Chicken Burrito	[Tomatillo Green Chili Salsa, [Rice, Pinto Beans, Sour Cream, Cheese, Lettuce]]	$8.75 
91	1	Chicken Burrito	[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]	$8.49 
91	1	Nantucket Nectar	[Peach Orange]	$3.39 
92	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Cheese, Lettuce]]	$8.75 
92	1	Steak Bowl	[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]	$9.25 
92	1	Chips	NULL	$2.15 
93	1	Chicken Bowl	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25 
93	1	Veggie Bowl	[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25 
93	1	Chicken Bowl	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25 
93	1	Chips and Guacamole	NULL	$4.45 
94	2	Chicken Salad Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Pinto Beans, Guacamole]]	$22.50 
95	1	Chips and Guacamole	NULL	$4.45 
95	1	Steak Bowl	[Tomatillo Green Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]	$11.75 
96	1	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream]]	$8.75 
96	2	Chicken Crispy Tacos	[Tomatillo Red Chili Salsa, [Cheese, Sour Cream, Lettuce]]	$17.50 
96	1	Chicken Bowl	[Tomatillo Green Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream]]	$8.75 
97	1	Barbacoa Bowl	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese]]	$9.25 
97	1	Chicken Bowl	[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream]]	$8.75 
97	1	Chips	NULL	$2.15 
98	1	Barbacoa Burrito	[Tomatillo Red Chili Salsa, [Rice, Cheese, Lettuce]]	$9.25 
98	2	Chips	NULL	$4.30 
98	1	Chicken Bowl	[Tomatillo Green Chili Salsa, [Rice, Pinto Beans, Sour Cream, Lettuce]]	$8.75 
99	1	Veggie Burrito	[Tomatillo Red Chili Salsa, [Black Beans, Cheese, Guacamole]]	$11.25 
99	1	Chips	NULL	$2.15 
100	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream]]	$8.99 
100	1	Canned Soda	[Mountain Dew]	$1.09 
101	1	Steak Burrito	[Tomatillo-Green Chili Salsa (Medium), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]	$8.99 
101	1	Chips and Guacamole	NULL	$3.99 
102	1	Chicken Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Lettuce]]	$8.75 
102	1	Chips and Tomatillo Green Chili Salsa	NULL	$2.95 
102	1	Chips and Roasted Chili Corn Salsa	NULL	$2.95 
103	1	Steak Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.75 
103	2	Chips and Tomatillo Green Chili Salsa	NULL	$5.90 
103	1	Steak Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese]]	$9.25 
103	1	Carnitas Soft Tacos	[Tomatillo Green Chili Salsa, [Fajita Vegetables, Pinto Beans, Cheese]]	$9.25 
103	1	Steak Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.75 
104	1	Carnitas Burrito	[Fresh Tomato Salsa, [Rice, Pinto Beans, Sour Cream, Cheese]]	$9.25 
104	1	Chips and Fresh Tomato Salsa	NULL	$2.95 
105	2	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]	$17.50 
106	1	Chicken Burrito	[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Sour Cream]]	$8.75 
106	1	Steak Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Pinto Beans, Cheese, Sour Cream]]	$9.25 
107	1	Chicken Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]	$10.98 
108	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Fajita Veggies, Cheese, Lettuce]]	$8.99 
108	1	Canned Soda	[Mountain Dew]	$1.09 
108	1	Canned Soda	[Dr. Pepper]	$1.09 
108	1	Canned Soda	[Mountain Dew]	$1.09 
108	1	Barbacoa Burrito	[[Tomatillo-Red Chili Salsa (Hot), Fresh Tomato Salsa (Mild), Tomatillo-Green Chili Salsa (Medium)], [Rice, Pinto Beans, Cheese]]	$8.99 
109	1	Chicken Salad	[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]	$10.98 
109	1	Canned Soda	[Diet Dr. Pepper]	$1.09 
110	1	Chicken Bowl	[Tomatillo Red Chili Salsa, [Rice, Cheese, Lettuce]]	$8.75 
110	1	Veggie Bowl	[Roasted Chili Corn Salsa, [Rice, Pinto Beans, Cheese, Sour Cream]]	$8.75 
110	1	Barbacoa Bowl	[Tomatillo Red Chili Salsa, [Rice, Cheese, Lettuce]]	$9.25 
110	1	Barbacoa Crispy Tacos	[Roasted Chili Corn Salsa, [Rice, Cheese, Lettuce]]	$9.25 
111	1	Chicken Salad Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce]]	$8.75 
111	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese]]	$8.75 
112	1	Steak Burrito	[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream]]	$8.99 
112	1	Steak Bowl	[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream]]	$8.99 
113	1	Steak Bowl	[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream]]	$8.99 
113	1	Canned Soda	[Mountain Dew]	$1.09 
