mpg,cylinders,displacement,horsepower,weight,acceleration,model,origin,car
34.1,4,86,65,1975,15.2,79,3,maxda glc deluxe
35.7,4,98,80,1915,14.4,79,1,dodge colt hatchback custom
27.4,4,121,80,2670,15.0,79,1,amc spirit dl
25.4,5,183,77,3530,20.1,79,2,mercedes benz 300d
23.0,8,350,125,3900,17.4,79,1,cadillac eldorado
27.2,4,141,71,3190,24.8,79,2,peugeot 504
23.9,8,260,90,3420,22.2,79,1,oldsmobile cutlass salon brougham
34.2,4,105,70,2200,13.2,79,1,plymouth horizon
34.5,4,105,70,2150,14.9,79,1,plymouth horizon tc3
31.8,4,85,65,2020,19.2,79,3,datsun 210
37.3,4,91,69,2130,14.7,79,2,fiat strada custom
28.4,4,151,90,2670,16.0,79,1,buick skylark limited
28.8,6,173,115,2595,11.3,79,1,chevrolet citation
26.8,6,173,115,2700,12.9,79,1,oldsmobile omega brougham
33.5,4,151,90,2556,13.2,79,1,pontiac phoenix
41.5,4,98,76,2144,14.7,80,2,vw rabbit
38.1,4,89,60,1968,18.8,80,3,toyota corolla tercel
32.1,4,98,70,2120,15.5,80,1,chevrolet chevette
37.2,4,86,65,2019,16.4,80,3,datsun 310
28.0,4,151,90,2678,16.5,80,1,chevrolet citation
26.4,4,140,88,2870,18.1,80,1,ford fairmont
24.3,4,151,90,3003,20.1,80,1,amc concord
19.1,6,225,90,3381,18.7,80,1,dodge aspen
34.3,4,97,78,2188,15.8,80,2,audi 4000
29.8,4,134,90,2711,15.5,80,3,toyota corona liftback
31.3,4,120,75,2542,17.5,80,3,mazda 626
37.0,4,119,92,2434,15.0,80,3,datsun 510 hatchback
32.2,4,108,75,2265,15.2,80,3,toyota corolla
46.6,4,86,65,2110,17.9,80,3,mazda glc
27.9,4,156,105,2800,14.4,80,1,dodge colt
40.8,4,85,65,2110,19.2,80,3,datsun 210
44.3,4,90,48,2085,21.7,80,2,vw rabbit c (diesel)
43.4,4,90,48,2335,23.7,80,2,vw dasher (diesel)
36.4,5,121,67,2950,19.9,80,2,audi 5000s (diesel)
30.0,4,146,67,3250,21.8,80,2,mercedes-benz 240d
44.6,4,91,67,1850,13.8,80,3,honda civic 1500 gl
40.9,4,85,?,1835,17.3,80,2,renault lecar deluxe
33.8,4,97,67,2145,18.0,80,3,subaru dl
29.8,4,89,62,1845,15.3,80,2,vokswagen rabbit
32.7,6,168,132,2910,11.4,80,3,datsun 280-zx
23.7,3,70,100,2420,12.5,80,3,mazda rx-7 gs
35.0,4,122,88,2500,15.1,80,2,triumph tr7 coupe
23.6,4,140,?,2905,14.3,80,1,ford mustang cobra
32.4,4,107,72,2290,17.0,80,3,honda accord
27.2,4,135,84,2490,15.7,81,1,plymouth reliant
26.6,4,151,84,2635,16.4,81,1,buick skylark
25.8,4,156,92,2620,14.4,81,1,dodge aries wagon (sw)
23.5,6,173,110,2725,12.6,81,1,chevrolet citation
30.0,4,135,84,2385,12.9,81,1,plymouth reliant
39.1,4,79,58,1755,16.9,81,3,toyota starlet
39.0,4,86,64,1875,16.4,81,1,plymouth champ
35.1,4,81,60,1760,16.1,81,3,honda civic 1300
32.3,4,97,67,2065,17.8,81,3,subaru
37.0,4,85,65,1975,19.4,81,3,datsun 210 mpg
37.7,4,89,62,2050,17.3,81,3,toyota tercel
34.1,4,91,68,1985,16.0,81,3,mazda glc 4
34.7,4,105,63,2215,14.9,81,1,plymouth horizon 4
34.4,4,98,65,2045,16.2,81,1,ford escort 4w
29.9,4,98,65,2380,20.7,81,1,ford escort 2h
33.0,4,105,74,2190,14.2,81,2,volkswagen jetta
34.5,4,100,?,2320,15.8,81,2,renault 18i
33.7,4,107,75,2210,14.4,81,3,honda prelude
32.4,4,108,75,2350,16.8,81,3,toyota corolla
32.9,4,119,100,2615,14.8,81,3,datsun 200sx
31.6,4,120,74,2635,18.3,81,3,mazda 626
28.1,4,141,80,3230,20.4,81,2,peugeot 505s turbo diesel
30.7,6,145,76,3160,19.6,81,2,volvo diesel
25.4,6,168,116,2900,12.6,81,3,toyota cressida
24.2,6,146,120,2930,13.8,81,3,datsun 810 maxima
22.4,6,231,110,3415,15.8,81,1,buick century
26.6,8,350,105,3725,19.0,81,1,oldsmobile cutlass ls
20.2,6,200,88,3060,17.1,81,1,ford granada gl
17.6,6,225,85,3465,16.6,81,1,chrysler lebaron salon
28.0,4,112,88,2605,19.6,82,1,chevrolet cavalier
27.0,4,112,88,2640,18.6,82,1,chevrolet cavalier wagon
34.0,4,112,88,2395,18.0,82,1,chevrolet cavalier 2-door
31.0,4,112,85,2575,16.2,82,1,pontiac j2000 se hatchback
29.0,4,135,84,2525,16.0,82,1,dodge aries se
27.0,4,151,90,2735,18.0,82,1,pontiac phoenix
24.0,4,140,92,2865,16.4,82,1,ford fairmont futura
23.0,4,151,?,3035,20.5,82,1,amc concord dl
36.0,4,105,74,1980,15.3,82,2,volkswagen rabbit l
37.0,4,91,68,2025,18.2,82,3,mazda glc custom l
31.0,4,91,68,1970,17.6,82,3,mazda glc custom
38.0,4,105,63,2125,14.7,82,1,plymouth horizon miser
36.0,4,98,70,2125,17.3,82,1,mercury lynx l
36.0,4,120,88,2160,14.5,82,3,nissan stanza xe
36.0,4,107,75,2205,14.5,82,3,honda accord
34.0,4,108,70,2245,16.9,82,3,toyota corolla
38.0,4,91,67,1965,15.0,82,3,honda civic
32.0,4,91,67,1965,15.7,82,3,honda civic (auto)
38.0,4,91,67,1995,16.2,82,3,datsun 310 gx
25.0,6,181,110,2945,16.4,82,1,buick century limited
38.0,6,262,85,3015,17.0,82,1,oldsmobile cutlass ciera (diesel)
26.0,4,156,92,2585,14.5,82,1,chrysler lebaron medallion
22.0,6,232,112,2835,14.7,82,1,ford granada l
32.0,4,144,96,2665,13.9,82,3,toyota celica gt
36.0,4,135,84,2370,13.0,82,1,dodge charger 2.2
27.0,4,151,90,2950,17.3,82,1,chevrolet camaro
27.0,4,140,86,2790,15.6,82,1,ford mustang gl
44.0,4,97,52,2130,24.6,82,2,vw pickup
32.0,4,135,84,2295,11.6,82,1,dodge rampage
28.0,4,120,79,2625,18.6,82,1,ford ranger
31.0,4,119,82,2720,19.4,82,1,chevy s-10
