Year,Population,Total,Violent,Property,Murder,Forcible_Rape,Robbery,Aggravated_assault,Burglary,Larceny_Theft,Vehicle_Theft
1979,220099000.00,12249500.00,1208030.00,11041500.00,21460.00,76390.00,480700.00,629480.00,3327700.00,6601000.00,1112800.00
1980,225349264.00,13408300.00,1344520.00,12063700.00,23040.00,82990.00,565840.00,672650.00,3795200.00,7136900.00,1131700.00
1981,229146000.00,13423800.00,1361820.00,12061900.00,22520.00,82500.00,592910.00,663900.00,3779700.00,7194400.00,1087800.00
1982,231534000.00,12974400.00,1322390.00,11652000.00,21010.00,78770.00,553130.00,669480.00,3447100.00,7142500.00,1062400.00
1983,233981000.00,12108600.00,1258090.00,10850500.00,19310.00,78920.00,506570.00,653290.00,3129900.00,6712800.00,1007900.00
1984,236158000.00,11881800.00,1273280.00,10608500.00,18690.00,84230.00,485010.00,685350.00,2984400.00,6591900.00,1032200.00
1985,238740000.00,12431400.00,1328800.00,11102600.00,18980.00,88670.00,497870.00,723250.00,3073300.00,6926400.00,1102900.00
1986,240132887.00,13211869.00,1489169.00,11722700.00,20613.00,91459.00,542775.00,834322.00,3241410.00,7257153.00,1224137.00
1987,242282918.00,13508700.00,1483999.00,12024700.00,20096.00,91110.00,517704.00,855088.00,3236184.00,7499900.00,1288674.00
1988,245807000.00,13923100.00,1566220.00,12356900.00,20680.00,92490.00,542970.00,910090.00,3218100.00,7705900.00,1432900.00
1989,248239000.00,14251400.00,1646040.00,12605400.00,21500.00,94500.00,578330.00,951710.00,3168200.00,7872400.00,1564800.00
1990,248709873.00,14475600.00,1820130.00,12655500.00,23440.00,102560.00,639270.00,1054860.00,3073900.00,7945700.00,1635900.00
1991,252177000.00,14872900.00,1911770.00,12961100.00,24700.00,106590.00,687730.00,1092740.00,3157200.00,8142200.00,1661700.00
1992,255082000.00,14438200.00,1932270.00,12505900.00,23760.00,109060.00,672480.00,1126970.00,2979900.00,7915200.00,1610800.00
1993,257908000.00,14144800.00,1926020.00,12218800.00,24530.00,106010.00,659870.00,1135610.00,2834800.00,7820900.00,1563100.00
1994,260341000.00,13989500.00,1857670.00,12131900.00,23330.00,102220.00,618950.00,1113180.00,2712800.00,7879800.00,1539300.00
1995,262755000.00,13862700.00,1798790.00,12063900.00,21610.00,97470.00,580510.00,1099210.00,2593800.00,7997700.00,1472400.00
1996,265228572.00,13493863.00,1688540.00,11805300.00,19650.00,96250.00,535590.00,1037050.00,2506400.00,7904700.00,1394200.00
1997,267637000.00,13194571.00,1634770.00,11558175.00,18208.00,96153.00,498534.00,1023201.00,2460526.00,7743760.00,1354189.00
1998,270296000.00,12475634.00,1531044.00,10944590.00,16914.00,93103.00,446625.00,974402.00,2329950.00,7373886.00,1240754.00
1999,272690813.00,11634378.00,1426044.00,10208334.00,15522.00,89411.00,409371.00,911740.00,2100739.00,6955520.00,1152075.00
2000,281421906.00,11608072.00,1425486.00,10182586.00,15586.00,90178.00,408016.00,911706.00,2050992.00,6971590.00,1160002.00
2001,285317559.00,11876669.00,1439480.00,10437480.00,16037.00,90863.00,423557.00,909023.00,2116531.00,7092267.00,1228391.00
2002,287973924.00,11878954.00,1423677.00,10455277.00,16229.00,95235.00,420806.00,891407.00,2151252.00,7057370.00,1246646.00
2003,290690788.00,11826538.00,1383676.00,10442862.00,16528.00,93883.00,414235.00,859030.00,2154834.00,7026802.00,1261226.00
2004,293656842.00,11679474.00,1360088.00,10319386.00,16148.00,95089.00,401470.00,847381.00,2144446.00,6937089.00,1237851.00
2005,296507061.00,11565499.00,1390745.00,10174754.00,16740.00,94347.00,417438.00,862220.00,2155448.00,6783447.00,1235859.00
2006,299398484.00,11401511.00,1418043.00,9983568.00,17030.00,92757.00,447403.00,860853.00,2183746.00,6607013.00,1192809.00
2007,301621157.00,11251828.00,1408337.00,9843481.00,16929.00,90427.00,445125.00,855856.00,2176140.00,6568572.00,1095769.00
2008,304374846.00,11160543.00,1392628.00,9767915.00,16442.00,90479.00,443574.00,842134.00,2228474.00,6588046.00,958629.00
2009,307006550.00,10762956.00,1325896.00,9337060.00,15399.00,89241.00,408742.00,812514.00,2203313.00,6338095.00,795652.00
2010,309330219.00,10363873.00,1251248.00,9112625.00,14772.00,85593.00,369089.00,781844.00,2168457.00,6204601.00,739565.00
2011,311587816.00,10258774.00,1206031.00,9052743.00,14661.00,84175.00,354772.00,752423.00,2185140.00,6151095.00,716508.00
2012,313873685.00,10219059.00,1217067.00,9001992.00,14866.00,85141.00,355051.00,762009.00,2109932.00,6168874.00,723186.00
2013,316497531.00,9850445.00,1199684.00,8650761.00,14319.00,82109.00,345095.00,726575.00,1931835.00,6018632.00,700294.00
2014,318857056.00,9475816.00,1197987.00,8277829.00,14249.00,84041.00,325802.00,741291.00,1729806.00,5858496.00,689527.00
