mpg,cylinders,displacement,horsepower,weight,acceleration,model,origin,car,,,,,
14.0,8,318,150,4096,13.0,71,1,plymouth fury iii,,,,,
12.0,8,383,180,4955,11.5,71,1,dodge monaco (sw),,,,,
13.0,8,400,170,4746,12.0,71,1,ford country squire (sw),,,,,
13.0,8,400,175,5140,12.0,71,1,pontiac safari (sw),,,,,
18.0,6,258,110,2962,13.5,71,1,amc hornet sportabout (sw),,,,,
22.0,4,140,72,2408,19.0,71,1,chevrolet vega (sw),,,,,
19.0,6,250,100,3282,15.0,71,1,pontiac firebird,,,,,
18.0,6,250,88,3139,14.5,71,1,ford mustang,,,,,
23.0,4,122,86,2220,14.0,71,1,mercury capri 2000,,,,,
28.0,4,116,90,2123,14.0,71,2,opel 1900,,,,,
30.0,4,79,70,2074,19.5,71,2,peugeot 304,,,,,
30.0,4,88,76,2065,14.5,71,2,fiat 124b,,,,,
31.0,4,71,65,1773,19.0,71,3,toyota corolla 1200,,,,,
35.0,4,72,69,1613,18.0,71,3,datsun 1200,,,,,
27.0,4,97,60,1834,19.0,71,2,volkswagen model 111,,,,,
26.0,4,91,70,1955,20.5,71,1,plymouth cricket,,,,,
24.0,4,113,95,2278,15.5,72,3,toyota corona hardtop,,,,,
25.0,4,98,80,2126,17.0,72,1,dodge colt hardtop,,,,,
23.0,4,97,54,2254,23.5,72,2,volkswagen type 3,,,,,
20.0,4,140,90,2408,19.5,72,1,chevrolet vega,,,,,
21.0,4,122,86,2226,16.5,72,1,ford pinto runabout,,,,,
13.0,8,350,165,4274,12.0,72,1,chevrolet impala,,,,,
14.0,8,400,175,4385,12.0,72,1,pontiac catalina,,,,,
15.0,8,318,150,4135,13.5,72,1,plymouth fury iii,,,,,
14.0,8,351,153,4129,13.0,72,1,ford galaxie 500,,,,,
17.0,8,304,150,3672,11.5,72,1,amc ambassador sst,,,,,
11.0,8,429,208,4633,11.0,72,1,mercury marquis,,,,,
13.0,8,350,155,4502,13.5,72,1,buick lesabre custom,,,,,
12.0,8,350,160,4456,13.5,72,1,oldsmobile delta 88 royale,,,,,
13.0,8,400,190,4422,12.5,72,1,chrysler newport royal,,,,,
19.0,3,70,97,2330,13.5,72,3,mazda rx2 coupe,,,,,
15.0,8,304,150,3892,12.5,72,1,amc matador (sw),,,,,
13.0,8,307,130,4098,14.0,72,1,chevrolet chevelle concours (sw),,,,,
13.0,8,302,140,4294,16.0,72,1,ford gran torino (sw),,,,,
14.0,8,318,150,4077,14.0,72,1,plymouth satellite custom (sw),,,,,
18.0,4,121,112,2933,14.5,72,2,volvo 145e (sw),,,,,
22.0,4,121,76,2511,18.0,72,2,volkswagen 411 (sw),,,,,
21.0,4,120,87,2979,19.5,72,2,peugeot 504 (sw),,,,,
26.0,4,96,69,2189,18.0,72,2,renault 12 (sw),,,,,
22.0,4,122,86,2395,16.0,72,1,ford pinto (sw),,,,,
28.0,4,97,92,2288,17.0,72,3,datsun 510 (sw),,,,,
23.0,4,120,97,2506,14.5,72,3,toyouta corona mark ii (sw),,,,,
28.0,4,98,80,2164,15.0,72,1,dodge colt (sw),,,,,
27.0,4,97,88,2100,16.5,72,3,toyota corolla 1600 (sw),,,,,
13.0,8,350,175,4100,13.0,73,1,buick century 350,,,,,
14.0,8,304,150,3672,11.5,73,1,amc matador,,,,,
13.0,8,350,145,3988,13.0,73,1,chevrolet malibu,,,,,
14.0,8,302,137,4042,14.5,73,1,ford gran torino,,,,,
15.0,8,318,150,3777,12.5,73,1,dodge coronet custom,,,,,
12.0,8,429,198,4952,11.5,73,1,mercury marquis brougham,,,,,
13.0,8,400,150,4464,12.0,73,1,chevrolet caprice classic,,,,,
13.0,8,351,158,4363,13.0,73,1,ford ltd,,,,,
14.0,8,318,150,4237,14.5,73,1,plymouth fury gran sedan,,,,,
13.0,8,440,215,4735,11.0,73,1,chrysler new yorker brougham,,,,,
12.0,8,455,225,4951,11.0,73,1,buick electra 225 custom,,,,,
13.0,8,360,175,3821,11.0,73,1,amc ambassador brougham,,,,,
18.0,6,225,105,3121,16.5,73,1,plymouth valiant,,,,,
16.0,6,250,100,3278,18.0,73,1,chevrolet nova custom,,,,,
18.0,6,232,100,2945,16.0,73,1,amc hornet,,,,,
18.0,6,250,88,3021,16.5,73,1,ford maverick,,,,,
23.0,6,198,95,2904,16.0,73,1,plymouth duster,,,,,
26.0,4,97,46,1950,21.0,73,2,volkswagen super beetle,,,,,
11.0,8,400,150,4997,14.0,73,1,chevrolet impala,,,,,
12.0,8,400,167,4906,12.5,73,1,ford country,,,,,
13.0,8,360,170,4654,13.0,73,1,plymouth custom suburb,,,,,
12.0,8,350,180,4499,12.5,73,1,oldsmobile vista cruiser,,,,,
18.0,6,232,100,2789,15.0,73,1,amc gremlin,,,,,
20.0,4,97,88,2279,19.0,73,3,toyota carina,,,,,
21.0,4,140,72,2401,19.5,73,1,chevrolet vega,,,,,
22.0,4,108,94,2379,16.5,73,3,datsun 610,,,,,
18.0,3,70,90,2124,13.5,73,3,maxda rx3,,,,,
19.0,4,122,85,2310,18.5,73,1,ford pinto,,,,,
21.0,6,155,107,2472,14.0,73,1,mercury capri v6,,,,,
26.0,4,98,90,2265,15.5,73,2,fiat 124 sport coupe,,,,,
15.0,8,350,145,4082,13.0,73,1,chevrolet monte carlo s,,,,,
16.0,8,400,230,4278,9.5,73,1,pontiac grand prix,,,,,
29.0,4,68,49,1867,19.5,73,2,fiat 128,,,,,
24.0,4,116,75,2158,15.5,73,2,opel manta,,,,,
20.0,4,114,91,2582,14.0,73,2,audi 100ls,,,,,
19.0,4,121,112,2868,15.5,73,2,volvo 144ea,,,,,
15.0,8,318,150,3399,11.0,73,1,dodge dart custom,,,,,
24.0,4,121,110,2660,14.0,73,2,saab 99le,,,,,
20.0,6,156,122,2807,13.5,73,3,toyota mark ii,,,,,
11.0,8,350,180,3664,11.0,73,1,oldsmobile omega,,,,,
20.0,6,198,95,3102,16.5,74,1,plymouth duster,,,,,
21.0,6,200,?,2875,17.0,74,1,ford maverick,,,,,
19.0,6,232,100,2901,16.0,74,1,amc hornet,,,,,
15.0,6,250,100,3336,17.0,74,1,chevrolet nova,,,,,
31.0,4,79,67,1950,19.0,74,3,datsun b210,,,,,
26.0,4,122,80,2451,16.5,74,1,ford pinto,,,,,
32.0,4,71,65,1836,21.0,74,3,toyota corolla 1200,,,,,
25.0,4,140,75,2542,17.0,74,1,chevrolet vega,,,,,
16.0,6,250,100,3781,17.0,74,1,chevrolet chevelle malibu classic,,,,,
16.0,6,258,110,3632,18.0,74,1,amc matador,,,,,
18.0,6,225,105,3613,16.5,74,1,plymouth satellite sebring,,,,,
16.0,8,302,140,4141,14.0,74,1,ford gran torino,,,,,
13.0,8,350,150,4699,14.5,74,1,buick century luxus (sw),,,,,
14.0,8,318,150,4457,13.5,74,1,dodge coronet custom (sw),,,,,
14.0,8,302,140,4638,16.0,74,1,ford gran torino (sw),,,,,
14.0,8,304,150,4257,15.5,74,1,amc matador (sw),,,,,
29.0,4,98,83,2219,16.5,74,2,audi fox,,,,,
26.0,4,79,67,1963,15.5,74,2,volkswagen dasher,,,,,
26.0,4,97,78,2300,14.5,74,2,opel manta,,,,,
31.0,4,76,52,1649,16.5,74,3,toyota corona,,,,,
32.0,4,83,61,2003,19.0,74,3,datsun 710,,,,,
28.0,4,90,75,2125,14.5,74,1,dodge colt,,,,,
24.0,4,90,75,2108,15.5,74,2,fiat 128,,,,,
26.0,4,116,75,2246,14.0,74,2,fiat 124 tc,,,,,
24.0,4,120,97,2489,15.0,74,3,honda civic,,,,,
26.0,4,108,93,2391,15.5,74,3,subaru,,,,,
31.0,4,79,67,2000,16.0,74,2,fiat x1.9,,,,,
19.0,6,225,95,3264,16.0,75,1,plymouth valiant custom,,,,,
18.0,6,250,105,3459,16.0,75,1,chevrolet nova,,,,,
15.0,6,250,72,3432,21.0,75,1,mercury monarch,,,,,
15.0,6,250,72,3158,19.5,75,1,ford maverick,,,,,
16.0,8,400,170,4668,11.5,75,1,pontiac catalina,,,,,
15.0,8,350,145,4440,14.0,75,1,chevrolet bel air,,,,,
16.0,8,318,150,4498,14.5,75,1,plymouth grand fury,,,,,
14.0,8,351,148,4657,13.5,75,1,ford ltd,,,,,
17.0,6,231,110,3907,21.0,75,1,buick century,,,,,
16.0,6,250,105,3897,18.5,75,1,chevroelt chevelle malibu,,,,,
15.0,6,258,110,3730,19.0,75,1,amc matador,,,,,
18.0,6,225,95,3785,19.0,75,1,plymouth fury,,,,,
21.0,6,231,110,3039,15.0,75,1,buick skyhawk,,,,,
20.0,8,262,110,3221,13.5,75,1,chevrolet monza 2+2,,,,,
13.0,8,302,129,3169,12.0,75,1,ford mustang ii,,,,,
29.0,4,97,75,2171,16.0,75,3,toyota corolla,,,,,
23.0,4,140,83,2639,17.0,75,1,ford pinto,,,,,
20.0,6,232,100,2914,16.0,75,1,amc gremlin,,,,,
23.0,4,140,78,2592,18.5,75,1,pontiac astro,,,,,
24.0,4,134,96,2702,13.5,75,3,toyota corona,,,,,
25.0,4,90,71,2223,16.5,75,2,volkswagen dasher,,,,,
24.0,4,119,97,2545,17.0,75,3,datsun 710,,,,,
18.0,6,171,97,2984,14.5,75,1,ford pinto,,,,,
29.0,4,90,70,1937,14.0,75,2,volkswagen rabbit,,,,,
19.0,6,232,90,3211,17.0,75,1,amc pacer,,,,,
23.0,4,115,95,2694,15.0,75,2,audi 100ls,,,,,
23.0,4,120,88,2957,17.0,75,2,peugeot 504,,,,,
22.0,4,121,98,2945,14.5,75,2,volvo 244dl,,,,,
25.0,4,121,115,2671,13.5,75,2,saab 99le,,,,,
33.0,4,91,53,1795,17.5,75,3,honda civic cvcc,,,,,
28.0,4,107,86,2464,15.5,76,2,fiat 131,,,,,
25.0,4,116,81,2220,16.9,76,2,opel 1900,,,,,
25.0,4,140,92,2572,14.9,76,1,capri ii,,,,,
26.0,4,98,79,2255,17.7,76,1,dodge colt,,,,,
27.0,4,101,83,2202,15.3,76,2,renault 12tl,,,,,
17.5,8,305,140,4215,13.0,76,1,chevrolet chevelle malibu classic,,,,,
16.0,8,318,150,4190,13.0,76,1,dodge coronet brougham,,,,,
15.5,8,304,120,3962,13.9,76,1,amc matador,,,,,
14.5,8,351,152,4215,12.8,76,1,ford gran torino,,,,,
22.0,6,225,100,3233,15.4,76,1,plymouth valiant,,,,,
22.0,6,250,105,3353,14.5,76,1,chevrolet nova,,,,,
24.0,6,200,81,3012,17.6,76,1,ford maverick,,,,,
22.5,6,232,90,3085,17.6,76,1,amc hornet,,,,,
29.0,4,85,52,2035,22.2,76,1,chevrolet chevette,,,,,
24.5,4,98,60,2164,22.1,76,1,chevrolet woody,,,,,
29.0,4,90,70,1937,14.2,76,2,vw rabbit,,,,,
